file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS_M0367_0365_2617168_to_2621719,ད་ཉི་མ་གཅིག་ལ་སྒོར་མོ་ལྔ་བརྒྱ་རག་གི་འདུག་འདྲ་བོ་གཅིག་ལབ་ཀི་འདུག། ལྔ་བརྒྱ་རེད་ཡང་མིན་ན་བརྒྱད་བརྒྱ།  ,da nyi ma gcig la sgor mo lnga brgya rag gi 'dug 'dra bo gcig lab ki 'dug/_lnga brgya red yang min na brgyad brgya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0367_0365_2617168_to_2621719.wav,STT_NS,3,99,4.551,wav16k/STT_NS_M0367_0365_2617168_to_2621719.wav,ད་ཉི་མ་གཅིག་ལ་སྒོར་མོ་ལྔ་བརྒྱ་རག་གི་འདུག་འདྲ་བོ་ཅིག་ལབ་ཀི་འདུག་ཡོདབ། ལྔ་བརྒྱ་རེད་ཡང་མིན་ན་བརྒྱད་བརྒྱ།
STT_NS_M0484_0211_1413506_to_1418933,ད་ཁོ་ཚོ་གཉིས་ཀ་འུ་ཐུག་གི་འདུག་ཡོད་བ། ད་ཁ་ལག་བཟོ་ཡ་ལབ་ཡ་དེ་བཞག་ཤོག་ལབ་ཀི་འདུག་ཡོད་བ། ཨེ་ནས་རྗེས་མ་ང་རང་ག་ལབ་དགོས་རེད།  ,da kho tsho gnyis ka 'u thug gi 'dug yod ba/_da kha lag bzo ya lab ya de bzhag shog lab ki 'dug yod ba/_e nas rjes ma nga rang ga lab dgos red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0484_0211_1413506_to_1418933.wav,STT_NS,3,118,5.427,wav16k/STT_NS_M0484_0211_1413506_to_1418933.wav,ད་ཁོ་ཚོ་གཉིས་ཀ་འུ་ཐུག་གི་འདུག་ཡོད་བ། ད་ཁ་ལག་བཟོ་ཡ་ལབ་ཡ་དེ་བཞག་ཤོག་ལབ་ཀི་འདུག་ཡོད་བ། ཨེ་ནས་རྗེས་མ་ང་རང་ག་ལབ་དགོས་རེད།
STT_NS_M0367_0369_2637688_to_2645919,འཚེམ་པོ་བརྒྱབ་ཨེ་འདྲའི་དཀའ་ལས་བརྒྱབ་ནས་བསྡད་ཀི་མ་རེད། ངའི་ཨ་མ་ཡང་ལྷོད་ལྷོད་བྱས་ནས་ཇ་བཏུང་ཡ་རག་གི་རེད་འདྲ་བོ་ལབ་ཀི་འདུག་ཡོད་བ། ཡ་ཡུད་སེམས་པ་སྐྱོ་མདོག་ཁ་བོ་ལབ་ཀི་འདུག ཨེ་ནས་ཤཱ་རོ་ཁཱན་གིས་སྙིང་རྗེ་ད་ཁོ་རང་ཡང་ད་ཧ་གོ་ཡ་ཅིག་ཡོད་བ།  ,'tshem po brgyab e 'dra'i dka' las brgyab nas bsdad ki ma red/_nga'i a ma yang lhod lhod byas nas ja btung ya rag gi red 'dra bo lab ki 'dug yod ba/_ya yud sems pa skyo mdog kha bo lab ki 'dug_e nas shA ro khAn gis snying rje da kho rang yang da ha go ya cig yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0367_0369_2637688_to_2645919.wav,STT_NS,3,226,8.231,wav16k/STT_NS_M0367_0369_2637688_to_2645919.wav,འཚིམ་བུ་བརྒྱབ་ཨེ་འདྲའི་དཀའ་ལས་བརྒྱབ་ནས་བསྡད་ཀི་ཡོད་མ་རེད། ངའི་ཨ་མ་ཡིས་ལྷོད་ལྷོད་བྱས་ནས་ཇ་བཏུང་ཡ་རག་གི་ཡོད་རེད་འདྲ་བོ་ལབ་ཀི་འདུག་ཡོད་བ། ཡ་ཡུད་སེམས་པ་སྐྱོ་མདོག་ཁ་བོ་ལབ་ཀི་འདུག ཨེ་ནས་ཤཱ་རུ་ཁཱན་གིས་སྙིང་རྗེ་ད་ཁོ་རང་ཡང་ད་ཧ་གོ་ཡ་ཅིག་ཡོད་བ།
STT_MV0160_0258_2149901_to_2156625,ཧུན་ ངས་པ་ལགས་ པ་ལགས་ཀི་ཕྱག་ནས་འཇུས་བྱས་ ཧུན་ཧུན་ཧིན་ ,hun _ngas pa lags _pa lags ki phyag nas 'jus byas _hun hun hin _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0160_0258_2149901_to_2156625.wav,STT_MV,3,54,6.724,wav16k/STT_MV0160_0258_2149901_to_2156625.wav,ངའི་པཱ་ལགས། པཱ་ལགས་ཀི་ཕྱག་ནས་འཇུས་བྱས། ཧ
STT_NS_M0484_0212_1431326_to_1435413,བཟོ་སྟངས་དེབ་གཅིག་ནས་ད་ལྟ་བསླབ་ཀི་ཡོད་རེད་ལབ་སོང་བ། དེབ་དེ་ག་རེ་རེད་ཤག་ལབ་ན་ཡོད་བ་ད་མོ་ཡིས།  ,bzo stangs deb gcig nas da lta bslab ki yod red lab song ba/_deb de ga re red shag lab na yod ba da mo yis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0484_0212_1431326_to_1435413.wav,STT_NS,3,93,4.087,wav16k/STT_NS_M0484_0212_1431326_to_1435413.wav,བཟོ་སྟངས་དེབ་གཅིག་ནས་ད་ལྟ་བསླབ་ཀི་ཡོད་རེད་ལབ་སོང་བ། དེབ་དེ་ག་རེ་རེད་ཤག་ལབ་ན་ཡོད་བ་ད་མོ་ཡིས།
STT_NS_M0484_0216_1453413_to_1456107,ཞི་མི་དེ་ཆུང་ཆུང་སྐབས་སུ་ད་ཁ་ལག་བཟོ་སྟངས་མ་ཤེས་དུས་སྐབས་སུ་རཱ།  ,zhi mi de chung chung skabs su da kha lag bzo stangs ma shes dus skabs su rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0484_0216_1453413_to_1456107.wav,STT_NS,3,64,2.694,wav16k/STT_NS_M0484_0216_1453413_to_1456107.wav,ཞི་མི་དེ་ཆུང་ཆུང་སྐབས་སུ་ད་ཁ་ལག་བཟོ་སྟངས་མ་ཤེས་དུས་སྐབས་སུ་རཱ།
STT_TT00734_0046_303663_to_305999,ཨུམ། རྣམ་རྟོག་གི་སྤུན་ཐག་ཆད་པ་དེ། ལས་དང་པོ་པ་ཡིན་དུས།  ,um/_rnam rtog gi spun thag chad pa de/_las dang po pa yin dus/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00734_0046_303663_to_305999.wav,STT_TT,3,55,2.336,wav16k/STT_TT00734_0046_303663_to_305999.wav,ཨ། རྣམ་རྟོག་གི་སྤུ་ཟླག་ཆད་པ་དེ་ ལས་དང་པོ་པ་ཡིན་དུས།
STT_NS_M0484_0214_1439105_to_1442205,ཨེ་ནས་ཁ་ལག་ཚང་མ་ད་མོ་ཡིས་ག་རེ་དོ་སྣང་སླེབས་ཀི་འདུག་ལབ་ན། ཁ་ལག་ཚང་མ་ཡོད་བ།  ,e nas kha lag tshang ma da mo yis ga re do snang slebs ki 'dug lab na/_kha lag tshang ma yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0484_0214_1439105_to_1442205.wav,STT_NS,3,75,3.1,wav16k/STT_NS_M0484_0214_1439105_to_1442205.wav,ཨེ་ནས་ཁ་ལག་ཚང་མ་ད་མོ་ཡིས་ག་རེ་དོ་སྣང་སླེབས་ཀི་འདུག་ལབ་ན། ཁ་ལག་ཚང་མ་ཡོད་བ།
STT_NS_M0435_0083_1005366_to_1014343,ད་ཆུད་ཟོས་མ་འགྲོ་བ་གཅིག་ན་ཁྱོད་རང་པེ་ཤག་དེ་ཕྱག་དངུལ་དེ་ག་རེ་བྱེད་བྱེད་ཡོད་རཱ། ཨོ་དེ་ཡིན་དུས་སྐབས་སུ་ང་ཚོ་ག་རེ་ཡིན་སྤྱིར་བཏང་ནས་སོ་སོ་སོ་སོ།  ,da chud zos ma 'gro ba gcig na khyod rang pe shag de phyag dngul de ga re byed byed yod rA/_o de yin dus skabs su nga tsho ga re yin spyir btang nas so so so so/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0435_0083_1005366_to_1014343.wav,STT_NS,3,141,8.977,wav16k/STT_NS_M0435_0083_1005366_to_1014343.wav,ད་ཆུ་ཟས་མ་འགྲོ་བ་ཅིག་ཡིན་ན་ཁྱེད་རང་པེ་ཤག་དེ་ཕྱ་དངོས་དེ་ག་རེ་བྱེད་བྱད་ཀི་ཡོད་རཱ། ཨོ་དེ་ཡིན་དུས་སྐབས་སུ་ང་ཚོ་ག་རེ་ཡིན་ན་སྤྱིར་བཏང་ནས་སོ་སོ་སོ་སོ།
STT_MV0072_0120_1996794_to_2001130,འོ་ཡ་དེ་ནས་ང་ཡར་ནང་ཅིག་འགྲོ རེད། ཟ་མ་ཞིག་ཟ་མག་ལེ་ཨ་ཁུ། རེད་རེད། འོ་ཡ།  ,'o ya de nas nga yar nang cig 'gro_red/_za ma zhig za mag le a khu/_red red/_'o ya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0072_0120_1996794_to_2001130.wav,STT_MV,3,71,4.336,wav16k/STT_MV0072_0120_1996794_to_2001130.wav,འོ་ཡ། དེ་ན་ང་ཡར་ནང་མིན་འགྲོ རེད། ཟམ་མ་ྱིག་ཟ་མ་ལབ་འགྲོ། རེད་རེད། འོ་ཡ།
